用户注册日期,国家,渠道,注册人数,KYC1人数,转化至充值人数,KYC2人数,注册 充值,充值总金额,转化至现货交易人,充值-现货交易,现货交易总金额,转化至合约交易人,充值-合约交易,合约交易总金额,转化至交易人数,充值 交易,交易总金额
2026/5/23,阿尔及利亚,老带新,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,爱尔兰,SEO,1,1,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,法国,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,秘鲁,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,德国,其他渠道,35,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,摩尔多瓦,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,埃塞俄比亚,其他渠道,5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,塞尔维亚,推广2(外部),30,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,拉脱维亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,台湾,推广2(外部),5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,希腊,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,罗马尼亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,卢旺达,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,安哥拉,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,毛里塔尼亚,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴基斯坦,推广2(外部),7,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,澳大利亚,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,马达加斯加,广告渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,委内瑞拉,SEO,5,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,比利时,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,波兰,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴西,老带新,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乍得,SEO,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,比利时,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,洪都拉斯,推广2(外部),12,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,埃及,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,摩洛哥,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,委内瑞拉,其他渠道,1,1,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,英国,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,牙买加,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴林,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴基斯坦,其他渠道,10,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,泰国,推广2(外部),5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,埃及,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,保加利亚,其他渠道,18,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,科特迪瓦,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南苏丹,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,土耳其,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,洪都拉斯,其他渠道,17,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,苏丹,其他渠道,1,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,越南,推广2(外部),2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴基斯坦,广告渠道,5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,格鲁吉亚,其他渠道,15,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乌克兰,广告渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,澳大利亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,哥伦比亚,推广2(外部),7,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,马达加斯加,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,爱尔兰,其他渠道,1,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,阿尔及利亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南非,其他渠道,3,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,捷克,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,法国,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,科威特,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乌克兰,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,贝宁,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,墨西哥,其他渠道,20,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南非,老带新,1,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,多米尼加共和国,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴拿马,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,尼日利亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,阿尔及利亚,其他渠道,2,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,孟加拉国,推广2(外部),7,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,德国,老带新,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,德国,推广2(外部),39,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,菲律宾,推广2(外部),10,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,中国香港,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,摩尔多瓦,推广2(外部),15,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,新加坡,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,格鲁吉亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,智利,SEO,3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,台湾,SEO,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,坦桑尼亚,其他渠道,6,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,尼日利亚,其他渠道,2,2,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南非,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,台湾,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
