用户注册日期,国家,渠道,注册人数,KYC1人数,转化至充值人数,KYC2人数,注册 充值,充值总金额,转化至现货交易人,充值-现货交易,现货交易总金额,转化至合约交易人,充值-合约交易,合约交易总金额,转化至交易人数,充值 交易,交易总金额
2026/5/23,新加坡,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,罗马尼亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,毛里塔尼亚,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,危地马拉,其他渠道,2,1,1,0,0.5,160.905838,0,0,0,0,0,0,0,0,0
2026/5/23,巴基斯坦,其他渠道,5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,阿拉伯联合酋长国,推广2(外部),1,1,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,马达加斯加,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,贝宁,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,德国,老带新,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,孟加拉国,推广2(外部),2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,马里,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,智利,SEO,3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,俄罗斯,其他渠道,2,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,法国,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴拿马,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,德国,其他渠道,14,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,坦桑尼亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,科威特,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,哥伦比亚,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,爱尔兰,其他渠道,1,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,苏丹,其他渠道,1,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,摩尔多瓦,其他渠道,7,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴西,推广2(外部),5,1,1,0,0.2,9.560749,0,0,0,0,0,0,0,0,0
2026/5/23,摩尔多瓦,推广2(外部),5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,亚美尼亚,其他渠道,12,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,多米尼加共和国,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,英国,推广2(外部),3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴西,老带新,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,意大利,其他渠道,5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乌克兰,推广2(外部),14,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,格鲁吉亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,塞内加尔,推广2(外部),2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,,SEO,1,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,尼日利亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,意大利,推广2(外部),2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,委内瑞拉,推广2(外部),3,1,1,0,0.3333333333333333,4.687015,0,0,0,0,0,0,0,0,0
2026/5/23,委内瑞拉,其他渠道,1,1,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,秘鲁,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,肯尼亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,西班牙,其他渠道,3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,保加利亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,中国香港,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,克罗地亚,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴基斯坦,推广2(外部),2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,伊拉克,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,埃及,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,拉脱维亚,推广2(外部),1,1,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,罗马尼亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,越南,推广2(外部),2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,比利时,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,毛里塔尼亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南非,老带新,1,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,英国,其他渠道,11,2,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,智利,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,坦桑尼亚,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,台湾,推广2(外部),5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,塞尔维亚,推广2(外部),9,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,洪都拉斯,推广2(外部),4,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,阿尔及利亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,尼日利亚,其他渠道,2,2,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,科特迪瓦,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,希腊,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,埃及,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,阿尔及利亚,SEO,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,马达加斯加,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴西,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,埃塞俄比亚,其他渠道,5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,埃及,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,格鲁吉亚,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,纳米比亚,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乌兹别克斯坦,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,洪都拉斯,其他渠道,4,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴林,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,亚美尼亚,推广2(外部),3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,拉脱维亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乌克兰,广告渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,阿尔及利亚,其他渠道,2,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴基斯坦,广告渠道,5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,西班牙,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,科威特,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,牙买加,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,利比亚,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,希腊,推广2(外部),1,1,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,摩洛哥,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乌克兰,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,西班牙,推广2(外部),4,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,罗马尼亚,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,泰国,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,波兰,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,毛里求斯,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,澳大利亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,捷克,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,爱尔兰,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,塞内加尔,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,柬埔寨,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,台湾,SEO,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,土耳其,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,摩洛哥,SEO,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,泰国,推广2(外部),5,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,哥伦比亚,推广2(外部),7,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,格鲁吉亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,澳大利亚,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,英国,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,葡萄牙,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,索马里,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,比利时,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,马达加斯加,广告渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南非,其他渠道,3,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,波兰,推广2(外部),3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,新加坡,广告渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,巴基斯坦,SEO,5,2,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,安哥拉,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,爱尔兰,SEO,1,1,0,1,0,0,0,,0,0,,0,0,,0
2026/5/23,德国,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,秘鲁,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,墨西哥,其他渠道,10,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,保加利亚,其他渠道,7,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南非,推广2(外部),1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,也门,其他渠道,3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,菲律宾,其他渠道,7,1,1,1,0.14285714285714285,105,0,0,0,1,1,518.7512,1,1,518.7512
2026/5/23,印度尼西亚,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,台湾,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,尼日利亚,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,法国,其他渠道,10,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,委内瑞拉,SEO,5,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,法国,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,德国,推广2(外部),7,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,日本,其他渠道,3,1,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,菲律宾,推广2(外部),3,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,塞尔维亚,其他渠道,14,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,南非,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,多哥,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,新西兰,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,孟加拉国,其他渠道,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,瑞典,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乍得,SEO,2,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,秘鲁,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,贝宁,其他渠道,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,阿尔及利亚,老带新,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,墨西哥,推广2(外部),10,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,科特迪瓦,SEO,1,0,0,0,0,0,0,,0,0,,0,0,,0
2026/5/23,乌克兰,其他渠道,15,0,0,0,0,0,0,,0,0,,0,0,,0
